LotArea,TotalBsmtSF,GrLivArea,GarageArea,PoolArea,OverallCond,Utilities,SalePrice
11553,1051,1159,336,0,5,AllPub,158000
8400,1052,1052,288,0,5,AllPub,138500
8960,1008,1028,360,0,6,AllPub,115000
11100,0,930,308,0,7,AllPub,84900
15593,1304,2287,667,0,4,AllPub,225000
3922,1258,1402,648,0,5,AllPub,194201
10680,2136,2136,528,0,3,AllPub,137900
16905,1350,1328,308,0,6,AllPub,170000
10852,959,1671,472,0,5,AllPub,173000
6240,884,1367,560,0,6,AllPub,127500
39104,1385,1363,439,0,7,AllPub,241500
10237,1316,1316,397,0,5,AllPub,169990
14303,1986,1987,691,0,5,AllPub,301500
9819,882,900,280,0,5,AllPub,122000
8029,728,1456,400,0,5,AllPub,176000
16492,1517,1888,578,0,6,AllPub,190000
7861,783,1509,393,0,5,AllPub,183200
9020,1248,1350,520,0,5,AllPub,168500
7207,858,858,0,0,7,AllPub,116500
8012,1604,1617,533,0,5,AllPub,193000
12011,1086,1924,592,0,5,AllPub,280000
7200,0,827,392,0,7,AllPub,107500
8978,948,948,300,0,5,AllPub,108000
10402,1226,1226,740,0,5,AllPub,198900
8314,816,816,264,0,7,AllPub,124500
7750,660,1320,400,0,5,AllPub,162000
10020,683,904,0,0,1,AllPub,61000
10000,1116,1116,440,0,6,AllPub,160000
9758,950,950,280,0,5,AllPub,119500
13688,1572,2668,726,0,5,AllPub,412500
16647,1390,1701,611,0,5,AllPub,171000
21780,1163,1674,396,0,7,AllPub,185000
10800,720,1192,0,0,4,AllPub,135000
3136,1405,1405,478,0,5,AllPub,171750
45600,907,2358,360,0,8,AllPub,240000
8924,880,1724,527,0,5,AllPub,188000
9790,1372,1342,457,0,5,AllPub,161500
4060,1405,1337,511,0,5,AllPub,181000
6000,928,928,288,0,6,AllPub,112500
3230,729,1471,440,0,5,AllPub,172500
1680,483,987,264,0,5,AllPub,100000
13704,1541,1541,843,0,5,AllPub,205000
10011,1070,1236,447,0,6,AllPub,134450
7931,1148,1148,672,0,5,AllPub,132500
13360,876,964,432,0,7,AllPub,163500
13418,1117,2452,691,0,5,AllPub,309000
9084,616,1111,200,0,6,AllPub,95000
11664,1082,1082,240,0,5,AllPub,119200
215245,2136,2036,513,0,5,AllPub,375000
8004,832,1935,552,0,5,AllPub,263435
13869,794,1470,388,0,6,AllPub,177000
8544,0,1040,400,0,4,AllPub,92900
14541,1338,2520,796,0,7,AllPub,310000
7535,912,912,297,0,7,AllPub,120000
8849,1684,1684,564,0,5,AllPub,266000
8814,1604,1604,660,0,5,AllPub,220000
7820,1869,1869,617,0,5,AllPub,318061
10784,384,1472,402,0,5,AllPub,160000
7879,720,720,0,0,5,AllPub,34900
9672,1040,1097,480,0,5,AllPub,152000
8121,953,1664,460,0,5,AllPub,172400
46589,1629,2448,711,0,7,AllPub,402000
8400,1314,1314,294,0,6,AllPub,145000
10140,832,1664,528,0,5,AllPub,162900
10382,1107,2090,484,0,6,AllPub,200000
7015,709,1203,352,0,4,AllPub,110000
7630,360,1812,672,0,9,AllPub,140000
8712,540,1044,504,0,5,AllPub,55993
11275,854,1991,432,0,7,AllPub,220000
9187,1084,1080,484,0,5,AllPub,134000
8967,961,1077,338,0,2,AllPub,67000
9000,936,1128,286,0,5,AllPub,118000
11200,1298,1298,403,0,5,AllPub,180000
14977,1976,1976,908,0,5,AllPub,440000
6629,672,1369,300,0,6,AllPub,103600
8738,975,2291,429,0,5,AllPub,230000
12155,1657,1657,484,0,3,AllPub,163500
14859,1670,1670,690,0,5,AllPub,240000
24090,1032,2403,349,0,7,AllPub,244400
10395,1032,1032,564,0,6,AllPub,148000
11700,727,1556,441,0,6,AllPub,154000
11310,1367,1375,451,0,5,AllPub,140000
10200,672,672,240,0,8,AllPub,108000
1680,483,987,288,0,5,AllPub,94500
10480,803,1964,483,0,6,AllPub,205000
13031,691,1498,409,0,5,AllPub,187500
9000,1088,1959,1025,0,5,AllPub,270000
1477,630,630,286,0,4,AllPub,80000
5000,540,1440,352,0,4,AllPub,79000
10289,1073,1073,515,0,7,AllPub,156000
11146,1709,1717,908,0,5,AllPub,255500
12925,1205,2117,550,0,7,AllPub,237500
7226,798,1640,595,0,5,AllPub,183000
11643,1248,2634,968,0,5,AllPub,200000
9600,1240,1632,338,0,6,AllPub,139000
10800,482,1912,672,0,7,AllPub,163000
11216,1489,1489,776,0,5,AllPub,232600
53107,1580,1953,501,0,5,AllPub,240000
3951,612,1224,528,0,5,AllPub,164500
25339,816,1416,576,0,7,AllPub,112000
7862,1218,1218,676,0,5,AllPub,208300
4456,736,1452,0,0,5,AllPub,113000
12546,1440,1440,467,0,7,AllPub,182900
8246,1060,1060,270,0,8,AllPub,154000
9187,1766,1766,478,0,5,AllPub,370878
2665,757,1475,336,0,6,AllPub,127000
3182,1346,1504,457,0,5,AllPub,181000
9375,1057,2034,645,0,5,AllPub,219500
9991,1281,1620,490,0,4,AllPub,150000
8737,1065,1635,440,0,7,AllPub,210000
5400,840,1374,338,0,6,AllPub,105000
10780,911,954,576,0,5,AllPub,132500
17500,1902,1902,567,0,8,AllPub,335000
7500,1257,1266,453,0,5,AllPub,176000
13860,1952,2704,538,0,7,AllPub,345000
12137,1649,1661,598,0,5,AllPub,224900
13907,996,996,0,0,6,AllPub,108000
9430,1252,2365,856,0,5,AllPub,337000
16059,1288,2417,462,0,5,AllPub,260000
9600,1242,1242,528,0,6,AllPub,175500
8872,912,912,576,0,8,AllPub,147000
11888,844,2134,441,0,6,AllPub,214500
4043,1069,1069,440,0,5,AllPub,127500
12205,832,2087,444,0,8,AllPub,187500
4438,848,848,420,0,5,AllPub,149000
14774,1393,2599,779,0,5,AllPub,333168
11423,1581,1601,670,0,5,AllPub,272000
8068,1010,2267,390,0,5,AllPub,200000
10215,864,948,248,0,5,AllPub,111000
10304,780,1868,484,0,7,AllPub,197500
12000,924,1122,528,0,7,AllPub,147000
6882,684,1355,0,0,7,AllPub,127000
4500,1237,1337,405,0,5,AllPub,153500
7937,1003,1003,588,0,6,AllPub,142500
7875,1144,1144,456,0,6,AllPub,139950
9600,572,1096,0,0,5,AllPub,79000
8263,1012,1012,308,0,5,AllPub,118400
5604,864,864,0,0,6,AllPub,98000
7950,690,1426,440,0,6,AllPub,159500
4045,1356,1500,648,0,5,AllPub,246578
16226,1028,2452,683,0,5,AllPub,267000
1533,630,630,0,0,7,AllPub,92000
11932,1580,1580,830,0,5,AllPub,235128
9738,784,1221,392,0,7,AllPub,104900
11361,1193,1523,478,0,5,AllPub,180000
9750,1108,2097,583,0,6,AllPub,274300
6240,1324,1324,550,0,5,AllPub,254000
6600,816,816,816,0,8,AllPub,138000
8450,1337,1337,531,0,5,AllPub,185000
12046,848,2030,551,0,6,AllPub,195000
10624,1728,1728,352,0,4,AllPub,119000
11425,1008,1008,275,0,6,AllPub,137000
10237,783,1484,393,0,5,AllPub,178900
8450,856,1710,548,0,5,AllPub,208500
9500,1394,1394,514,0,5,AllPub,159000
1936,630,630,0,0,6,AllPub,84500
8925,1466,1466,610,0,5,AllPub,201000
7795,716,1432,432,0,5,AllPub,188500
9600,528,1855,512,0,7,AllPub,187000
10005,1160,2022,505,0,5,AllPub,192000
2522,970,1709,380,0,5,AllPub,130000
18386,1470,3493,870,0,9,AllPub,295000
12508,983,1750,423,0,7,AllPub,160000
10120,925,1889,308,0,4,AllPub,122000
5784,190,886,273,0,8,AllPub,91300
11923,1800,1800,702,0,5,AllPub,239000
12464,1040,1040,576,0,5,AllPub,152000
9591,1143,2473,852,0,5,AllPub,317000
13515,764,1824,520,0,6,AllPub,180500
5868,936,936,308,0,7,AllPub,129000
15498,1565,2898,665,0,6,AllPub,287000
9717,1078,1078,240,0,6,AllPub,142125
9156,1489,1489,462,0,7,AllPub,185750
13891,1734,2822,1020,0,5,AllPub,582933
3604,689,1392,540,0,5,AllPub,146000
7685,697,1501,420,0,5,AllPub,165600
9120,1261,1261,433,0,6,AllPub,163000
10650,894,894,308,0,6,AllPub,128200
9101,1097,1110,602,0,6,AllPub,165500
8532,1297,1297,498,0,6,AllPub,153000
9473,1128,2031,577,0,5,AllPub,237000
9600,1041,1041,270,0,6,AllPub,124500
11362,1836,1836,862,0,5,AllPub,280000
13159,846,1692,650,0,5,AllPub,224500
7180,864,864,352,0,7,AllPub,127000
3316,1247,1247,550,0,5,AllPub,197000
13346,1095,2295,590,0,5,AllPub,268000
11885,1299,1872,531,0,5,AllPub,261500
5500,882,882,0,0,6,AllPub,103200
11003,1017,2007,812,0,5,AllPub,310000
6000,616,616,205,0,7,AllPub,89000
9828,1128,2020,466,0,5,AllPub,239500
4130,270,729,0,0,6,AllPub,52000
11049,1234,1234,484,0,5,AllPub,179900
10593,1720,1720,527,0,5,AllPub,260400
17755,1466,1466,528,0,4,AllPub,149900
9060,0,1340,252,0,6,AllPub,120000
6970,1040,1120,544,0,5,AllPub,129000
12416,1606,1651,616,0,5,AllPub,184000
11316,817,1894,510,0,5,AllPub,214900
7750,384,1430,400,0,5,AllPub,180000
8200,847,1928,434,0,5,AllPub,219500
13072,1158,1158,576,0,5,AllPub,158000
32463,1249,1622,1356,0,4,AllPub,168000
10029,1151,2060,521,0,5,AllPub,211000
7399,975,1950,576,0,5,AllPub,239000
6120,264,800,0,0,3,AllPub,60000
14115,1372,1472,588,0,5,AllPub,187500
11214,930,1886,431,0,5,AllPub,199900
11065,1085,1970,753,0,5,AllPub,281000
9742,1777,1795,534,0,5,AllPub,230000
10896,1440,3395,0,0,7,AllPub,200000
8125,756,1553,615,0,5,AllPub,186500
7851,860,1960,440,0,5,AllPub,216500
10721,1252,1252,528,0,6,AllPub,142000
6240,0,912,0,0,5,AllPub,80500
9405,698,698,0,0,9,AllPub,118000
11096,1656,1656,826,0,5,AllPub,249700
7407,912,1236,923,0,7,AllPub,149700
8100,849,2138,360,0,5,AllPub,106000
9100,925,925,429,0,6,AllPub,117500
3636,796,796,0,0,4,AllPub,55000
10437,2109,2113,839,0,6,AllPub,350000
9042,1152,2340,252,0,9,AllPub,266500
8123,982,1800,463,0,5,AllPub,179000
27650,585,2069,505,0,7,AllPub,242000
6762,1208,1208,628,0,5,AllPub,195400
70761,1533,1533,576,0,5,AllPub,280000
1680,525,1092,264,0,5,AllPub,88000
10800,718,2554,704,0,8,AllPub,159500
9000,1184,2610,550,0,5,AllPub,303477
11210,1614,1614,865,0,5,AllPub,221500
5001,1314,1314,626,0,5,AllPub,230000
9000,650,1482,324,0,9,AllPub,143000
12090,585,1868,477,0,7,AllPub,178000
5400,1149,1616,216,0,7,AllPub,152000
9600,992,1661,377,0,6,AllPub,165500
8944,1584,1584,792,0,5,AllPub,124000
9786,1007,1077,210,0,4,AllPub,91000
12227,1330,2872,619,0,7,AllPub,272000
10134,735,1034,240,0,6,AllPub,109000
9200,1136,1136,384,0,6,AllPub,140000
4224,1142,1142,528,0,5,AllPub,134000
5306,1064,1767,504,0,7,AllPub,239000
9600,845,893,576,0,7,AllPub,135000
7000,864,864,336,0,8,AllPub,136500
9313,864,1728,572,0,5,AllPub,190000
11250,1208,1208,546,0,6,AllPub,165000
164660,1499,1786,529,0,6,AllPub,228950
9382,1468,1479,577,0,5,AllPub,191000
9947,1188,1217,497,0,5,AllPub,173000
12090,1141,2263,420,0,5,AllPub,258000
8892,1065,1065,461,0,5,AllPub,126500
1890,630,630,0,0,7,AllPub,81000
12168,965,3194,380,0,6,AllPub,359100
6931,746,1656,397,0,5,AllPub,165400
10440,650,1539,686,0,8,AllPub,157500
12180,672,924,280,0,4,AllPub,80000
15256,1485,1464,754,0,5,AllPub,282922
10140,1040,1309,484,648,6,AllPub,181000
9600,702,1472,250,0,8,AllPub,125000
8910,655,1194,539,0,6,AllPub,159500
10192,570,1920,487,0,6,AllPub,170000
6204,795,2230,440,0,5,AllPub,118500
9000,864,864,528,0,6,AllPub,120500
8640,1300,1314,552,0,5,AllPub,229456
10208,1264,2344,889,0,5,AllPub,265000
8800,576,1140,0,0,7,AllPub,96500
11333,1029,1062,539,0,5,AllPub,146800
4928,958,958,440,0,6,AllPub,143750
7763,931,1283,506,0,7,AllPub,140000
10678,1683,2872,541,0,5,AllPub,285000
12400,1215,1215,297,0,7,AllPub,155000
3182,1266,1266,388,0,5,AllPub,159895
8760,1194,1194,312,0,6,AllPub,148000
10655,3206,1629,880,0,5,AllPub,284000
10000,1220,2090,556,0,5,AllPub,240000
25419,1360,3112,795,512,4,AllPub,235000
8100,1559,1559,812,0,6,AllPub,153500
12493,1100,1100,312,0,5,AllPub,141000
10356,969,969,440,0,6,AllPub,122000
9880,1096,1118,358,576,6,AllPub,171000
8530,384,1474,400,0,5,AllPub,168500
3675,547,1072,525,0,5,AllPub,148000
6000,735,1218,440,0,6,AllPub,131000
12134,559,1752,492,0,7,AllPub,164000
7200,780,780,352,0,7,AllPub,124900
53504,1650,3279,841,0,5,AllPub,538000
12886,520,1464,480,0,6,AllPub,175000
1680,483,987,264,0,5,AllPub,85400
7200,776,1502,270,0,6,AllPub,149000
10410,672,1214,936,0,4,AllPub,105000
9000,896,1792,0,0,5,AllPub,136000
10357,910,1442,719,0,5,AllPub,179900
10800,1034,2078,836,0,5,AllPub,339750
21750,0,1771,336,0,4,AllPub,115000
9084,755,1510,296,0,5,AllPub,108000
13651,2223,2223,516,0,6,AllPub,244000
11250,920,1786,608,0,5,AllPub,223500
11435,792,1517,400,0,7,AllPub,230000
8430,1040,1040,0,0,5,AllPub,124000
10120,1165,2526,844,0,5,AllPub,290000
8480,970,970,624,0,6,AllPub,132500
6292,768,790,160,0,5,AllPub,91000
8125,1092,1550,438,0,5,AllPub,241000
13710,910,1558,282,0,5,AllPub,152000
7420,1057,1057,576,0,5,AllPub,132000
8012,923,923,264,0,5,AllPub,143000
12456,1700,1718,786,0,5,AllPub,337500
11207,802,1511,413,0,5,AllPub,185000
4750,1573,1625,538,0,5,AllPub,235000
8089,1419,1419,567,0,6,AllPub,392000
8250,1092,1092,504,0,7,AllPub,145000
9022,768,792,240,0,8,AllPub,109500
8525,940,1964,0,0,6,AllPub,130000
9262,1573,1578,840,0,5,AllPub,287090
8480,832,1216,336,0,5,AllPub,118500
9800,894,894,552,0,7,AllPub,149900
11175,1316,1316,440,0,5,AllPub,200141
10769,866,1768,578,0,5,AllPub,212000
9100,1728,1728,504,0,5,AllPub,125000
9600,1067,1067,436,0,7,AllPub,128000
8063,924,1690,463,0,5,AllPub,181000
17140,1134,1229,284,0,6,AllPub,135000
20431,1848,2728,706,0,5,AllPub,437154
11404,1153,2031,541,0,5,AllPub,222500
8546,1121,1121,440,0,5,AllPub,140000
8700,1120,1128,525,0,6,AllPub,155000
50271,1842,1842,894,0,5,AllPub,385000
6120,884,1573,240,0,7,AllPub,133000
4435,848,848,420,0,5,AllPub,140000
9873,960,960,576,0,5,AllPub,129000
8400,1478,1478,442,0,3,AllPub,156500
11645,860,1720,565,0,5,AllPub,196500
12030,1694,1694,818,0,5,AllPub,318000
10084,1552,1552,782,0,5,AllPub,212900
12118,1710,1710,550,0,5,AllPub,240000
2016,630,1302,440,0,5,AllPub,106000
4923,1593,1593,682,0,5,AllPub,286000
25286,1064,1040,648,0,5,AllPub,132250
7449,637,1108,280,0,7,AllPub,139400
9000,1196,1196,297,0,5,AllPub,139000
11302,1814,1826,758,0,5,AllPub,319000
21535,2444,4316,832,0,6,AllPub,755000
9503,1024,1344,484,0,5,AllPub,144000
11414,728,2019,532,0,8,AllPub,167500
7162,876,904,408,0,7,AllPub,109900
10930,913,1558,288,0,6,AllPub,140000
8462,928,1721,471,0,5,AllPub,201000
6563,1742,1742,564,0,5,AllPub,275000
11394,1856,1856,834,0,2,AllPub,394432
3196,1374,1557,420,0,5,AllPub,234000
9525,994,1855,325,0,4,AllPub,136900
7819,1029,1117,672,0,5,AllPub,107000
8400,1473,1484,606,0,5,AllPub,213000
10140,1056,1074,495,0,6,AllPub,153500
6371,1358,1358,484,0,5,AllPub,224000
9554,777,1911,471,0,5,AllPub,215000
3600,684,1368,216,0,7,AllPub,114504
8049,1309,1339,484,0,5,AllPub,180000
9248,1158,1167,400,0,6,AllPub,173000
7200,900,900,576,0,7,AllPub,134800
10921,960,960,432,0,5,AllPub,94750
2522,970,1709,380,0,5,AllPub,130000
8731,915,1167,495,0,5,AllPub,144000
11767,768,1200,240,0,6,AllPub,130500
14331,1800,1800,765,0,5,AllPub,312500
21384,1324,1576,528,0,6,AllPub,223500
11000,969,2285,648,0,5,AllPub,248000
7175,744,752,264,0,5,AllPub,125000
11250,1104,1788,304,0,5,AllPub,161500
6120,927,1539,576,0,6,AllPub,141500
9967,384,1430,400,0,5,AllPub,170000
5687,780,1716,0,0,6,AllPub,135900
10800,0,1294,0,0,7,AllPub,106250
2522,970,1709,380,0,5,AllPub,137500
9477,864,892,264,0,5,AllPub,110000
10708,1617,1867,303,0,5,AllPub,190000
8520,714,2526,216,0,7,AllPub,136000
7314,1232,1232,632,0,5,AllPub,194500
12772,958,958,301,0,8,AllPub,151500
8767,1310,1310,400,0,5,AllPub,164990
10496,1040,1846,315,0,6,AllPub,143000
14803,825,1993,495,0,5,AllPub,190000
8777,796,796,0,0,7,AllPub,85000
7844,672,1400,440,0,7,AllPub,149500
11250,1128,2290,779,0,5,AllPub,255900
8993,1302,1302,436,0,5,AllPub,176485
9900,778,1489,240,0,7,AllPub,139500
15865,2217,2217,621,0,6,AllPub,268000
7200,1041,1125,352,0,6,AllPub,125000
11218,1055,1845,462,0,5,AllPub,189000
8320,770,1582,520,0,5,AllPub,185900
8544,0,1040,400,0,4,AllPub,93500
11751,1844,1844,546,0,6,AllPub,190000
12552,991,1947,678,0,5,AllPub,254900
7200,1214,2291,506,0,6,AllPub,133900
11700,1240,2640,864,0,7,AllPub,265979
8816,1121,1121,480,0,6,AllPub,139000
8198,1358,1358,484,0,5,AllPub,207000
13728,1127,2108,540,0,7,AllPub,235000
10927,1058,1904,736,0,5,AllPub,275000
9245,990,990,672,0,5,AllPub,145000
10440,1510,2792,520,0,7,AllPub,256000
8487,1500,1500,570,0,5,AllPub,190000
12327,1496,2132,612,0,8,AllPub,316600
11029,1184,1414,601,0,8,AllPub,176500
13000,896,2142,509,0,6,AllPub,193500
8750,804,1682,523,0,5,AllPub,200500
12220,2006,2020,900,0,5,AllPub,402861
8520,968,968,480,0,6,AllPub,100000
7588,793,1802,216,0,6,AllPub,200100
7642,912,1426,216,0,8,AllPub,189950
10206,1563,1563,758,0,5,AllPub,245000
16321,1484,1600,319,0,6,AllPub,207500
8750,1002,1002,902,0,6,AllPub,148500
7446,788,788,0,0,5,AllPub,100000
13600,768,1986,486,0,6,AllPub,205000
9297,1728,1728,560,0,5,AllPub,188000
9750,1630,1630,451,0,5,AllPub,213000
13300,928,928,252,0,7,AllPub,132000
11957,1574,1574,824,0,5,AllPub,232000
7875,783,1509,393,0,5,AllPub,180000
10800,641,1047,273,0,7,AllPub,100000
10197,1362,1362,504,0,5,AllPub,163000
32668,2035,2515,484,0,3,AllPub,200624
7800,896,2008,230,0,8,AllPub,225000
8475,952,952,283,0,7,AllPub,135750
4426,848,848,420,0,5,AllPub,143000
13101,1728,1728,576,0,5,AllPub,142600
11075,784,1968,530,0,4,AllPub,172000
7800,828,965,300,0,5,AllPub,119900
7200,864,864,720,0,8,AllPub,129000
11478,1704,1704,772,0,5,AllPub,306000
6768,912,912,288,0,8,AllPub,142000
